Time engk1       engi1       
  0.7502E-02  0.3192E+07  0.3860E+05
  0.7536E-02  0.3192E+07  0.3891E+05
  0.7570E-02  0.3192E+07  0.3922E+05
  0.7604E-02  0.3191E+07  0.3953E+05
  0.7638E-02  0.3191E+07  0.3982E+05
  0.7672E-02  0.3191E+07  0.4012E+05
  0.7706E-02  0.3190E+07  0.4041E+05
  0.7740E-02  0.3190E+07  0.4071E+05
  0.7775E-02  0.3190E+07  0.4100E+05
  0.7809E-02  0.3189E+07  0.4129E+05
  0.7843E-02  0.3189E+07  0.4159E+05
  0.7877E-02  0.3189E+07  0.4188E+05
  0.7911E-02  0.3188E+07  0.4218E+05
  0.7945E-02  0.3188E+07  0.4249E+05
  0.7979E-02  0.3188E+07  0.4279E+05
  0.8013E-02  0.3187E+07  0.4310E+05
  0.8047E-02  0.3187E+07  0.4341E+05
  0.8081E-02  0.3187E+07  0.4372E+05
  0.8116E-02  0.3186E+07  0.4403E+05
  0.8150E-02  0.3186E+07  0.4433E+05
  0.8184E-02  0.3186E+07  0.4464E+05
  0.8218E-02  0.3185E+07  0.4494E+05
  0.8252E-02  0.3185E+07  0.4525E+05
  0.8286E-02  0.3185E+07  0.4556E+05
  0.8320E-02  0.3184E+07  0.4587E+05
  0.8354E-02  0.3184E+07  0.4618E+05
  0.8388E-02  0.3184E+07  0.4649E+05
  0.8422E-02  0.3183E+07  0.4679E+05
  0.8457E-02  0.3183E+07  0.4710E+05
  0.8491E-02  0.3183E+07  0.4740E+05
  0.8525E-02  0.3183E+07  0.4769E+05
  0.8559E-02  0.3182E+07  0.4799E+05
  0.8593E-02  0.3182E+07  0.4829E+05
  0.8627E-02  0.3182E+07  0.4858E+05
  0.8661E-02  0.3181E+07  0.4887E+05
  0.8695E-02  0.3181E+07  0.4915E+05
  0.8729E-02  0.3181E+07  0.4943E+05
  0.8763E-02  0.3180E+07  0.4971E+05
  0.8798E-02  0.3180E+07  0.5000E+05
  0.8832E-02  0.3180E+07  0.5029E+05
  0.8866E-02  0.3179E+07  0.5059E+05
  0.8900E-02  0.3179E+07  0.5089E+05
  0.8934E-02  0.3179E+07  0.5120E+05
  0.8968E-02  0.3178E+07  0.5151E+05
  0.9002E-02  0.3178E+07  0.5182E+05
  0.9036E-02  0.3178E+07  0.5214E+05
  0.9070E-02  0.3177E+07  0.5246E+05
  0.9104E-02  0.3177E+07  0.5278E+05
  0.9138E-02  0.3177E+07  0.5311E+05
  0.9173E-02  0.3176E+07  0.5344E+05
  0.9207E-02  0.3176E+07  0.5378E+05
  0.9241E-02  0.3175E+07  0.5412E+05
  0.9275E-02  0.3175E+07  0.5446E+05
  0.9309E-02  0.3175E+07  0.5481E+05
  0.9343E-02  0.3174E+07  0.5515E+05
  0.9377E-02  0.3174E+07  0.5550E+05
  0.9411E-02  0.3174E+07  0.5585E+05
  0.9445E-02  0.3173E+07  0.5620E+05
  0.9479E-02  0.3173E+07  0.5656E+05
  0.9514E-02  0.3172E+07  0.5690E+05
  0.9548E-02  0.3172E+07  0.5724E+05
  0.9582E-02  0.3172E+07  0.5758E+05
  0.9616E-02  0.3171E+07  0.5791E+05
  0.9650E-02  0.3171E+07  0.5824E+05
  0.9684E-02  0.3171E+07  0.5856E+05
  0.9718E-02  0.3170E+07  0.5886E+05
  0.9752E-02  0.3170E+07  0.5916E+05
  0.9786E-02  0.3170E+07  0.5945E+05
  0.9820E-02  0.3169E+07  0.5974E+05
  0.9855E-02  0.3169E+07  0.6002E+05
  0.9889E-02  0.3169E+07  0.6032E+05
  0.9923E-02  0.3168E+07  0.6061E+05
  0.9957E-02  0.3168E+07  0.6092E+05
  0.9991E-02  0.3168E+07  0.6123E+05
  0.1003E-01  0.3168E+07  0.6155E+05
  0.1006E-01  0.3167E+07  0.6188E+05
  0.1009E-01  0.3167E+07  0.6221E+05
  0.1013E-01  0.3166E+07  0.6256E+05
  0.1016E-01  0.3166E+07  0.6290E+05
  0.1020E-01  0.3166E+07  0.6326E+05
  0.1023E-01  0.3165E+07  0.6362E+05
  0.1026E-01  0.3165E+07  0.6397E+05
  0.1030E-01  0.3165E+07  0.6432E+05
  0.1033E-01  0.3164E+07  0.6468E+05
  0.1037E-01  0.3164E+07  0.6503E+05
  0.1040E-01  0.3163E+07  0.6538E+05
  0.1043E-01  0.3163E+07  0.6573E+05
  0.1047E-01  0.3163E+07  0.6607E+05
  0.1050E-01  0.3162E+07  0.6641E+05
  0.1054E-01  0.3162E+07  0.6675E+05
  0.1057E-01  0.3162E+07  0.6709E+05
  0.1060E-01  0.3161E+07  0.6742E+05
  0.1064E-01  0.3161E+07  0.6775E+05
  0.1067E-01  0.3160E+07  0.6809E+05
  0.1071E-01  0.3160E+07  0.6842E+05
  0.1074E-01  0.3160E+07  0.6875E+05
  0.1078E-01  0.3159E+07  0.6909E+05
  0.1081E-01  0.3159E+07  0.6942E+05
  0.1084E-01  0.3159E+07  0.6974E+05
  0.1088E-01  0.3158E+07  0.7006E+05
  0.1091E-01  0.3158E+07  0.7039E+05
  0.1095E-01  0.3158E+07  0.7071E+05
  0.1098E-01  0.3157E+07  0.7104E+05
  0.1101E-01  0.3157E+07  0.7137E+05
  0.1105E-01  0.3156E+07  0.7170E+05
  0.1108E-01  0.3156E+07  0.7205E+05
  0.1112E-01  0.3156E+07  0.7241E+05
  0.1115E-01  0.3155E+07  0.7276E+05
  0.1118E-01  0.3155E+07  0.7312E+05
  0.1122E-01  0.3155E+07  0.7349E+05
  0.1125E-01  0.3154E+07  0.7387E+05
  0.1129E-01  0.3154E+07  0.7424E+05
  0.1132E-01  0.3153E+07  0.7461E+05
  0.1135E-01  0.3153E+07  0.7499E+05
  0.1139E-01  0.3153E+07  0.7536E+05
